industry,beta,debtToEquity,effectiveTaxRate,unleveredBeta,cashToFirmValue,unleveredBetaCashCorrected,hiloRisk,stdevEquity,stdevOperatingIncome,,,,,
farm-products,0.98,0.5333,0.0889,0.7000125,0.0411,0.73,0.5104,0.6959,0.5076,0.68,0.847865207,0.931049707,0.77,0.791782983
financial-conglomerates,,,,,,,,,,,,,,
financial-data-stock-exchanges,,,,,,,,,,,,,,
food-distribution,0.72,0.4328,0.1553,0.54356032,0.0139,0.55,0.3446,0.3917,0.3358,0.8,1.083475211,0.845704717,0.74,0.803835986
footwear-accessories,1.42,0.1025,0.1106,1.318630296,0.0611,1.41,0.4627,0.5175,0.2769,0.98,1.188491653,1.288667383,1.27,1.227431807
furnishings-fixtures-appliances,0.87,0.4193,0.1161,0.661861199,0.0452,0.69,0.4093,0.548,0.221,0.78,0.99306864,0.951912232,0.86,0.854996174
gambling,1.19,0.4321,0.1065,0.89874063,0.0517,0.95,0.4344,0.451,1.0192,1.19,1.437433728,1.060964928,1.05,1.137679731
gold,1.23,0.189,0.0199,1.077293628,0.0606,1.15,0.7072,0.7097,0.5501,0.75,0.987377494,1.187208617,0.83,0.980917222
grocery-stores,0.58,0.5226,0.1328,0.416681634,0.1074,0.47,0.5043,0.2713,0.3234,0.15,0.212006962,0.473174908,0.36,0.333036374
healthcare-plans,1.01,0.1279,0.041,0.921595912,0.0338,0.96,0.5519,0.6741,0.3272,0.8,0.912380019,1.097102972,1.01,0.955896598
health-information-services,1.22,0.162,0.0382,1.087828801,0.0293,1.12,0.5497,0.6454,0.4424,0.75,0.908888303,1.370736188,1.19,1.067924898
home-improvement-retail,0.87,0.4193,0.1161,0.661861199,0.0452,0.69,0.4093,0.548,0.221,0.78,0.99306864,0.951912232,0.86,0.854996174
household-personal-products,0.9,0.1522,0.08,0.807790692,0.0307,0.83,0.6304,0.5667,0.1191,0.68,0.920071747,1.057879847,0.77,0.851590319
industrial-distribution,,,,,,,,,,,,,,
information-technology-services,0.98,0.3537,0.1537,0.77453518,0.0312,0.8,0.4241,0.3966,0.4439,0.97,1.203866785,1.333443618,0.77,1.015462081
insurance-brokers,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259,0.56,0.810909133,1.026938594,0.89,0.795569545
insurance-diversified,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259,0.56,0.810909133,1.026938594,0.89,0.795569545
insurance-life,0.73,0.6273,0.1451,0.496438226,0.1981,0.62,0.2558,0.3431,0.2877,0.64,0.882988203,0.667464671,0.54,0.670090575
insurance-property-casualty,0.61,0.1546,0.1605,0.546619472,0.0462,0.57,0.2914,0.3369,0.2988,0.58,0.784777266,0.729538547,0.68,0.668863163
insurance-reinsurance,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259,0.56,0.810909133,1.026938594,0.89,0.795569545
insurance-specialty,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259,0.56,0.810909133,1.026938594,0.89,0.795569545
integrated-freight-logistics,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402,0.91,0.914138228,0.693998003,0.64,0.783627246
internet-content-information,0.98,0.3537,0.1537,0.77453518,0.0312,0.8,0.4241,0.3966,0.4439,0.97,1.203866785,1.333443618,0.77,1.015462081
internet-retail,1.06,0.0873,0.1675,0.994861447,0.0283,1.03,0.3721,0.4669,0.2581,0.81,1.03835631,1.220100297,1.17,1.053691322
leisure,1.33,0.651,0.0733,0.893667059,0.0443,0.93,0.4857,0.5306,0.2496,0.77,1.073632587,1.075492927,0.85,0.939825103
lodging,0.86,0.4194,0.0545,0.654216272,0.1076,0.74,0.4624,0.2653,0.8883,0.76,0.833266341,0.664939159,0.51,0.7016411
lumber-wood-production,1.07,0.2257,0.2369,0.915096962,0.0441,0.96,0.3677,0.6066,0.8073,0.96,0.998495841,1.125840303,1.59,1.126867229
luxury-goods,1.09,0.1609,0.0501,0.972628104,0.0408,1.01,0.5726,0.5935,0.7355,0.89,0.702141462,0.939496414,1.09,0.926327575
marine-shipping,0.58,0.1911,0.0578,0.507292327,0.036,0.52,0.4189,0.4519,0.7429,0.74,0.802317476,0.780333956,0.69,0.706530286
medical-care-facilities,0.86,0.7715,0.0905,0.544777892,0.0395,0.57,0.5355,0.5081,0.1823,0.8,0.963581998,0.723079476,0.56,0.723332295
medical-devices,0.86,0.7715,0.0905,0.544777892,0.0395,0.57,0.5355,0.5081,0.1823,0.8,0.963581998,0.723079476,0.56,0.723332295
medical-distribution,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355,0.82,1.127997214,1.219190697,0.91,1.007437582
medical-instruments-supplies,1.01,0.1279,0.041,0.921595912,0.0338,0.96,0.5519,0.6741,0.3272,0.8,0.912380019,1.097102972,1.01,0.955896598
metal-fabrication,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355,0.82,1.127997214,1.219190697,0.91,1.007437582
mortgage-finance,0.86,0.4194,0.0545,0.654216272,0.1076,0.74,0.4624,0.2653,0.8883,0.76,0.833266341,0.664939159,0.51,0.7016411
oil-gas-drilling,0.88,0.2665,0.071,0.73340973,0.0325,0.75,0.4581,0.4766,2.0053,0.81,1.127988922,1.136128084,0.82,0.928823401
oil-gas-e-p,0.88,0.2665,0.071,0.73340973,0.0325,0.75,0.4581,0.4766,2.0053,0.81,1.127988922,1.136128084,0.82,0.928823401
oil-gas-equipment-services,0.94,0.3852,0.0908,0.729304058,0.0647,0.78,0.4582,0.4949,0.8177,0.83,1.179173186,1.186938704,0.85,0.965222378
oil-gas-integrated,0.48,0.1371,0.2523,0.435245846,0.0377,0.46,0.182,0.2556,1.0791,0.98,1.250926196,0.94626837,0.64,0.855438913
oil-gas-midstream,0.75,0.5154,0.1248,0.540910894,0.0117,0.55,0.4258,0.3817,0.6013,0.6,0.864510871,0.656489919,0.53,0.640200158
oil-gas-refining-marketing,0.48,0.1371,0.2523,0.435245846,0.0377,0.46,0.182,0.2556,1.0791,0.98,1.250926196,0.94626837,0.64,0.855438913
other-industrial-metals-mining,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355,0.82,1.127997214,1.219190697,0.91,1.007437582
other-precious-metals-mining,1.23,0.189,0.0199,1.077293628,0.0606,1.15,0.7072,0.7097,0.5501,0.75,0.987377494,1.187208617,0.83,0.980917222
packaged-foods,0.47,0.3652,0.1012,0.368945757,0.0274,0.38,0.4525,0.4627,0.1004,0.53,0.632413846,0.768672676,0.5,0.562217304
packaging-containers,0.98,0.5291,0.1429,0.701591108,0.0533,0.74,0.2703,0.3398,0.1229,0.68,0.778295821,0.670499722,0.81,0.735759109
paper-paper-products,1.07,0.2257,0.2369,0.915096962,0.0441,0.96,0.3677,0.6066,0.8073,0.96,0.998495841,1.125840303,1.59,1.126867229
personal-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612,0.83,0.986113148,1.019868773,0.93,0.937196384
pharmaceutical-retailers,1.07,0.1689,0.0258,0.949697118,0.0308,0.98,0.6501,0.8005,0.2533,0.84,1.009823574,1.180806095,0.94,0.990125934
pollution-treatment-controls,0.92,0.1932,0.0684,0.80356363,0.0141,0.82,0.5672,0.5448,0.3177,0.82,1.08618298,0.859110953,0.79,0.875058787
publishing,0.64,0.2869,0.0976,0.526673113,0.059,0.56,0.3281,0.41,0.1256,1.1,1.464264011,0.914155527,0.82,0.971683908
railroads,0.99,0.2839,0.1714,0.816208752,0.011,0.83,0.2148,0.2656,0.1305,0.74,0.647608223,0.932381534,0.86,0.801997951
real-estate-development,1.03,1.0871,0.0249,0.567391514,0.0808,0.62,0.478,0.4968,0.6802,0.56,0.74244118,0.883804827,0.43,0.647249202
real-estate-diversified,0.86,0.4194,0.0545,0.654216272,0.1076,0.74,0.4624,0.2653,0.8883,0.76,0.833266341,0.664939159,0.51,0.7016411
real-estate-services,1.08,0.2879,0.0426,0.888212678,0.0708,0.95,0.5104,0.5653,0.2671,0.75,0.87112475,0.805020605,0.88,0.851229071
recreational-vehicles,1.04,0.2034,0.0206,0.90234697,0.0367,0.94,0.6256,0.627,0.3041,0.84,0.964248476,1.246222408,0.87,0.972094177
reit-diversified,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321,0.79,0.988221652,0.685556833,0.66,0.742755697
reit-healthcare-facilities,0.86,0.7715,0.0905,0.544777892,0.0395,0.57,0.5355,0.5081,0.1823,0.8,0.963581998,0.723079476,0.56,0.723332295
reit-hotel-motel,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321,0.79,0.988221652,0.685556833,0.66,0.742755697
reit-industrial,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321,0.79,0.988221652,0.685556833,0.66,0.742755697
reit-mortgage,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321,0.79,0.988221652,0.685556833,0.66,0.742755697
reit-office,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321,0.79,0.988221652,0.685556833,0.66,0.742755697
reit-residential,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321,0.79,0.988221652,0.685556833,0.66,0.742755697
reit-retail,0.95,0.5477,0.0119,0.67338874,0.0208,0.69,0.2665,0.2356,0.1396,1.14,1.065003444,1.355989844,0.79,1.008198658
reit-specialty,0.95,0.5477,0.0119,0.67338874,0.0208,0.69,0.2665,0.2356,0.1396,1.14,1.065003444,1.355989844,0.79,1.008198658
rental-leasing-services,1.08,0.2879,0.0426,0.888212678,0.0708,0.95,0.5104,0.5653,0.2671,0.75,0.87112475,0.805020605,0.88,0.851229071
residential-construction,1.43,0.175,0.1773,1.264088398,0.0831,1.38,0.3436,0.4143,0.6764,1.33,1.585557318,1.333155831,1.35,1.39574263
resorts-casinos,1.19,0.4321,0.1065,0.89874063,0.0517,0.95,0.4344,0.451,1.0192,1.19,1.437433728,1.060964928,1.05,1.137679731
restaurants,0.58,0.5226,0.1328,0.416681634,0.1074,0.47,0.5043,0.2713,0.3234,0.15,0.212006962,0.473174908,0.36,0.333036374
scientific-technical-instruments,,,,,,,,,,,,,,
security-protection-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612,0.83,0.986113148,1.019868773,0.93,0.937196384
semiconductor-equipment-materials,1.48,0.0818,0.0995,1.394450464,0.0511,1.47,0.347,0.5109,0.5683,1.07,1.34141807,1.689247361,1.51,1.416133086
semiconductors,1.49,0.0389,0.0419,1.447761557,0.0113,1.46,0.4968,0.5605,0.3061,0.96,1.135821074,1.53426722,1.46,1.310017659
shell-companies,,,,,,,,,,,,,,
silver,1.23,0.189,0.0199,1.077293628,0.0606,1.15,0.7072,0.7097,0.5501,0.75,0.987377494,1.187208617,0.83,0.980917222
software-application,1.24,0.049,0.0444,1.196045334,0.0174,1.22,0.5686,0.6363,0.4308,0.89,1.12245494,1.412970943,1.27,1.183085176
software-infrastructure,1.69,0.1154,0.0218,1.555381713,0.0288,1.6,0.5403,0.5562,3.009,0.75,0.975063804,1.416511408,1.51,1.250315042
solar,1.13,1.7618,0.0122,0.486785707,0.0271,0.5,0.6739,0.7193,0.4118,0.68,1.095256776,0.877192319,0.56,0.742489819
specialty-business-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612,0.83,0.986113148,1.019868773,0.93,0.937196384
specialty-chemicals,0.92,0.2712,0.0999,0.764500582,0.0358,0.79,0.4247,0.4815,0.1852,0.82,0.997722954,1.11525305,0.94,0.932595201
specialty-industrial-machinery,1.07,0.157,0.1122,0.957280251,0.0292,0.98,0.4267,0.4607,0.2052,0.96,1.178264297,1.09382508,0.94,1.030417875
specialty-retail,1.22,0.2893,0.0823,1.002485671,0.0505,1.06,0.5509,0.57,0.2063,1.03,1.228964711,1.187876333,0.97,1.095368209
staffing-employment-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612,0.83,0.986113148,1.019868773,0.93,0.937196384
steel,1.06,0.259,0.1176,0.887586351,0.0794,0.96,0.3582,0.4679,1.0197,0.78,0.982556998,1.212547493,1.08,1.003020898
telecom-services,0.89,1.0017,0.0365,0.508201168,0.0177,0.52,0.5682,0.6371,0.157,0.42,0.509153351,0.473906125,0.41,0.466611895
textile-manufacturing,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449,0.94,1.098346043,1.016379743,0.93,0.962945157
thermal-coal,1.18,0.0947,0.0277,1.101748325,0.1287,1.27,0.4805,0.5378,2.4543,0.56,0.819710873,1.428914588,1.24,1.063725092
tobacco,0.98,0.2796,0.125,0.810118211,0.0181,0.83,0.5533,0.6834,0.0963,0.61,0.862249085,1.744250452,0.99,1.007299907
tools-accessories,,,,,,,,,,,,,,
travel-services,,,,,,,,,,,,,,
trucking,1.1,0.2292,0.186,0.938646642,0.0227,0.96,0.3515,0.3218,0.37,0.94,1.278488179,1.232855747,1.03,1.088268785
uranium,0.92,0.2712,0.0999,0.764500582,0.0358,0.79,0.4247,0.4815,0.1852,0.82,0.997722954,1.11525305,0.94,0.932595201
utilities-diversified,0.39,0.7806,0.1065,0.245986944,0.0081,0.25,0.1566,0.1821,0.128,0.48,0.596218786,0.409461782,0.36,0.419136114
utilities-independent-power-producers,0.54,0.8034,0.1211,0.336962965,0.0125,0.34,0.2644,0.2731,0.1088,0.43,0.557464163,0.46402639,0.39,0.436298111
utilities-regulated-electric,0.39,0.7806,0.1065,0.245986944,0.0081,0.25,0.1566,0.1821,0.128,0.48,0.596218786,0.409461782,0.36,0.419136114
utilities-regulated-gas,0.39,0.7806,0.1065,0.245986944,0.0081,0.25,0.1566,0.1821,0.128,0.48,0.596218786,0.409461782,0.36,0.419136114
utilities-regulated-water,0.68,0.5864,0.1136,0.472287818,0.0041,0.47,0.3517,0.5253,0.1671,0.57,0.614179952,0.872520875,0.52,0.609340166
utilities-renewable,1.13,1.7618,0.0122,0.486785707,0.0271,0.5,0.6739,0.7193,0.4118,0.68,1.095256776,0.877192319,0.56,0.742489819
waste-management,0.92,0.1932,0.0684,0.80356363,0.0141,0.82,0.5672,0.5448,0.3177,0.82,1.08618298,0.859110953,0.79,0.875058787
